name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
LoVoCCS-1,227.73324,2e-05,3e-05,5.74338,2e-05,3e-05,-73.0917,0.2228,0.2342,0.9202,0.001,0.0013
LoVoCCS-2,44.73663,0.00018,0.00016,13.57728,0.00012,0.00019,23.2943,4.1237,3.6793,0.9746,0.0032,0.0048
LoVoCCS-4A,10.46006,4e-05,4e-05,-9.30458,3e-05,4e-05,67.2488,0.2159,0.2092,0.891,0.001,0.0012
LoVoCCS-4B,10.46331,0.00016,0.00015,-9.43281,0.00023,0.0002,-71.9296,0.8634,0.9742,0.9176,0.0049,0.0038
LoVoCCS-5,303.14188,0.00012,0.00014,-56.83829,6e-05,9e-05,40.1069,0.2274,0.1892,0.8262,0.0015,0.0012
LoVoCCS-7,330.47769,0.00016,0.00017,-59.94797,0.00011,0.00011,-78.4408,0.6737,0.8848,0.9519,0.0034,0.0038
LoVoCCS-9,67.84438,7e-05,9e-05,-61.43276,3e-05,3e-05,-33.7393,0.353,0.2334,0.9303,0.0006,0.0008
LoVoCCS-10,194.842,0.00019,0.00018,-4.19338,0.00014,0.00017,-19.5798,3.0841,2.2727,0.9552,0.007,0.0049
LoVoCCS-11,137.28955,0.0001,0.00014,-9.67277,0.0001,8e-05,4.7154,0.277,0.3191,0.9705,0.002,0.0017
LoVoCCS-12,206.86625,0.00014,0.00016,-32.85225,0.00013,0.00011,-81.7442,0.3457,0.3186,0.9488,0.0019,0.0022
LoVoCCS-13,49.49206,4e-05,3e-05,-44.23444,3e-05,3e-05,-81.0884,0.36,0.247,0.9522,0.0014,0.0018
LoVoCCS-14,44.45951,0.00029,0.0003,13.04877,0.00022,0.00025,-68.1175,2.9912,2.05,0.9424,0.0059,0.0063
LoVoCCS-15,351.33192,3e-05,3e-05,-12.12413,3e-05,3e-05,56.2058,0.3105,0.2976,0.8205,0.0018,0.0016
LoVoCCS-18,194.67272,9e-05,9e-05,-1.75991,8e-05,0.0001,71.4474,0.7007,0.5177,0.9173,0.0034,0.0034
LoVoCCS-21,201.99581,0.00015,0.00016,-31.50251,0.00016,0.00011,72.9516,0.5222,0.658,0.9346,0.0022,0.0021
LoVoCCS-22,308.6956,0.00026,0.00031,-35.82371,0.00024,0.00031,58.9699,1.9153,1.8642,0.8974,0.0068,0.0083
LoVoCCS-24,342.49467,0.00032,0.00036,-64.42981,0.00014,0.00013,-3.5204,0.6538,0.6106,0.9769,0.0043,0.004
LoVoCCS-26,333.63265,0.00025,0.00021,-10.37351,0.00018,0.0002,7.4187,3.3529,3.7291,0.9827,0.0085,0.0075
LoVoCCS-27,55.71625,0.00026,0.0003,-53.63017,0.00013,0.00012,3.9183,0.6832,0.7301,0.9814,0.0032,0.0037
LoVoCCS-28,184.41815,0.00012,0.00017,3.65847,0.00021,0.00017,-48.5667,1.1274,0.8351,0.8881,0.0037,0.0055
LoVoCCS-29,10.53249,0.00016,0.00014,-28.53673,0.00014,0.00014,51.9041,1.203,0.9977,0.8631,0.0038,0.0044
LoVoCCS-30,139.52343,2e-05,2e-05,-12.09479,2e-05,3e-05,67.9367,0.2335,0.2275,0.9038,0.0009,0.0009
LoVoCCS-31,332.5837,0.00023,0.00018,-12.17424,0.00021,0.00023,-41.5979,2.1215,2.1568,0.9277,0.0049,0.0069
LoVoCCS-35,341.5829,0.00023,0.00033,-52.73465,0.00015,0.00015,46.8322,0.5294,0.5376,0.7478,0.0045,0.0039
LoVoCCS-39,229.69107,0.00015,0.00013,6.23283,0.00016,0.00016,85.6837,175.3765,3.6918,0.9952,0.0103,0.0093
LoVoCCS-41A,202.70519,0.00018,0.00024,-1.86322,0.00022,0.00021,-50.0198,2.2386,2.6086,0.9132,0.0072,0.0076
LoVoCCS-41B,202.7909,0.00029,0.00033,-1.72111,0.00034,0.00037,-63.7144,1.5677,1.8828,0.8655,0.009,0.0097
LoVoCCS-42,328.53761,0.00052,0.00052,-57.85895,0.00027,0.00025,-24.441,1.5652,1.2312,0.9073,0.0062,0.0047
LoVoCCS-45,26.25063,0.00036,0.00026,-53.02159,0.00016,0.00016,26.5938,0.6935,0.5861,0.7917,0.0054,0.0042
LoVoCCS-46A,335.97978,0.00019,0.00026,-1.60751,0.00027,0.00026,-56.9264,0.5905,0.6184,0.7238,0.0068,0.0046
LoVoCCS-46B,336.06041,0.00073,0.00062,-1.52339,0.0006,0.00072,-50.9469,2.4835,2.4735,0.827,0.013,0.016
LoVoCCS-46C,335.96499,0.00015,0.00015,-1.63118,0.00023,0.00021,-63.2435,0.7477,0.9733,0.83,0.0064,0.0051
LoVoCCS-48A,194.3007,0.00028,0.00025,-17.4102,0.00033,0.00034,-65.5356,2.4891,2.6275,0.958,0.0043,0.0056
LoVoCCS-48B,194.42827,0.00057,0.00067,-17.30127,0.00046,0.00059,-49.1301,1.5371,1.8665,0.8817,0.0148,0.0094
LoVoCCS-49,175.35117,0.0002,0.00012,-12.27675,0.00022,0.00013,-14.9674,4.317,3.8289,0.9628,0.0106,0.01
LoVoCCS-51,334.50084,0.00045,0.00059,-65.18336,0.00025,0.00024,66.5835,3.9979,4.5954,0.9562,0.0092,0.0079
LoVoCCS-58,323.56815,0.00056,0.00046,-13.44329,0.00072,0.00059,79.5947,1.5013,1.207,0.9019,0.0132,0.0119
LoVoCCS-60A,334.56612,0.00018,0.0002,-3.82097,0.00013,0.00012,-20.4013,0.4514,0.5277,0.8548,0.0035,0.0033
LoVoCCS-60B,334.66435,0.00015,0.00015,-3.77959,0.00011,0.00012,-14.4251,0.576,0.7011,0.9044,0.0042,0.0049
LoVoCCS-61,336.51904,9e-05,9e-05,17.37297,9e-05,8e-05,86.0443,0.6357,0.8188,0.9799,0.0029,0.0042
LoVoCCS-63,229.07837,0.00014,0.00014,0.09361,0.00017,0.00015,-45.5595,1.8091,1.8384,0.9083,0.0057,0.0035
LoVoCCS-65,201.74513,0.00049,0.00076,-27.16262,0.00059,0.00045,-8.9669,4.5829,5.9832,0.98,0.0103,0.0133
LoVoCCS-66A,328.08887,0.00034,0.00031,-19.55222,0.00042,0.00044,-59.1408,13.8836,13.0405,0.9764,0.0182,0.016
LoVoCCS-66B,328.03827,0.00048,0.00073,-19.71125,0.00057,0.00048,-17.825,9.4212,17.6221,0.9766,0.0193,0.0163
LoVoCCS-67,359.25191,5e-05,7e-05,-34.75818,5e-05,4e-05,54.8308,0.1477,0.1876,0.789,0.0017,0.0015
LoVoCCS-74,332.34498,0.00049,0.0006,-51.81102,0.00036,0.00036,63.3764,2.6621,3.6041,0.9112,0.0134,0.0129
LoVoCCS-75,346.80672,0.00024,0.00023,-15.22726,0.00024,0.00026,-74.56,3.1753,3.415,0.9458,0.0133,0.0132
LoVoCCS-76,348.25688,0.00028,0.00026,-21.63301,0.00018,0.0002,51.3038,2.6786,2.4043,0.8729,0.0122,0.0111
LoVoCCS-80,52.14995,0.00056,0.00049,-55.71033,0.00025,0.00027,-62.634,13.2973,12.1046,0.9817,0.0131,0.0082
LoVoCCS-85,12.34573,0.00023,0.0003,-29.52116,0.00024,0.00023,60.5881,3.2958,4.353,0.9232,0.0121,0.013
LoVoCCS-89,348.08099,0.00047,0.00057,-21.50389,0.0003,0.00058,85.0142,173.9235,3.773,0.9877,0.0184,0.0102
LoVoCCS-90,227.86217,0.00077,0.00074,6.35062,0.00066,0.00073,9.7661,9.616,9.1049,0.9808,0.0195,0.0203
LoVoCCS-93A,96.91127,0.00067,0.00066,-54.44341,0.00045,0.00031,27.3514,0.9202,0.9382,0.8247,0.0061,0.0074
LoVoCCS-93B,96.66251,0.00087,0.00072,-54.52785,0.00032,0.00042,12.9092,0.7926,1.1431,0.9148,0.0069,0.0066
LoVoCCS-94,191.15018,0.00037,0.00031,-11.99579,0.00026,0.00036,-74.2334,3.9646,5.5391,0.954,0.0167,0.0134
LoVoCCS-98,358.55784,0.00032,0.00029,-10.41624,0.00021,0.00025,-19.0129,61.9956,97.5019,0.9983,0.0077,0.0034
LoVoCCS-99,194.33595,0.00054,0.00068,-30.36531,0.00047,0.00048,-59.8086,3.1229,3.4321,0.9319,0.0092,0.0082
LoVoCCS-119,125.25854,6e-05,6e-05,7.86476,5e-05,7e-05,10.6081,2.0952,1.7288,0.9708,0.0051,0.006
LoVoCCS-121,52.48044,0.00031,0.00035,-52.58026,0.00021,0.00019,-50.2062,4.9497,4.7247,0.9639,0.0044,0.0047
LoVoCCS-123,193.67605,0.00036,0.00028,-29.22891,0.00027,0.00023,54.1931,3.6062,3.7058,0.9249,0.0086,0.0119
LoVoCCS-131,137.65155,0.00049,0.00042,-10.58253,0.0003,0.00053,-9.3276,3.5119,3.2435,0.9575,0.0155,0.0151
LoVoCCS-134,329.60257,0.00116,0.0011,-60.41842,0.00061,0.00063,85.1771,174.7785,4.5821,0.9997,0.0108,0.004
